category,company,date,description,link,title
2022-04-01T07:36:28-03:00,Aegro,2022-04-01T07:36:28-03:00,,https://remotar.com.br/vagas/designer-de-produto-sr-aegro/,Designer de Produto Sr.
2022-04-05T13:10:08-03:00,Valtech,2022-04-05T13:10:08-03:00,"<div class=""description ng-star-inserted"">
<div class=""perks"">
<div class=""text"">
<div id=""ember875"" class=""ember-view"">
<h5 class=""mt5 t-20 t-bold mb4"">Sobre a vaga</h5>
<p>A Valtech é uma Agência Digital global que possui escritórios em 16 países. Nós projetamos e construímos experiências únicas, executamos esforços de melhoria contínua e vivemos, alimentamos e impulsionamos a transformação dos negócios em todo o mundo digital. Apoiamos nossos clientes na pesquisa, design e marketing de experiências e interfaces digitais inteligentes.</p>
<p>Estamos procurando alguém para se juntar à nossa equipe no escritório de Florianópois, São Paulo ou <strong>Remotamente </strong>na função de <strong>Front End Developer Pleno</strong>.</p>
<p>Lembrando que todas as nossas vagas contemplam a diversidade, então se você é PcD essa vaga também é para você!</p>
<h5>Suas atividades serão:</h5>
<ul>
<li>Desenvolvimento de websites responsivos;</li>
<li>Manutenção em projetos existentes.</li>
</ul>
<h5>Requisitos que você precisa atender:</h5>
<ul>
<li>Conhecimento em HTML, CSS, Javascript;</li>
<li>Conhecimento em ReactJS ou VueJS;</li>
<li>Flexibilidade – trabalhamos com diversas tecnologias e stacks;</li>
<li>Inglês Avançado.</li>
</ul>
<p><strong>Consideraremos um diferencial se você tiver:</strong></p>
<ul>
<li>Mobile First;</li>
<li>Design Responsivo</li>
</ul>
<p>Por que trabalhar conosco?</p>
<p>Na Valtech, criamos experiências que funcionem e alcancem todas as pessoas. Nosso objetivo é criar um ambiente de trabalho justo que dê às pessoas o apoio de que precisam para prosperar, crescer e atingir seus objetivos. Para isso, construímos todos os dias um ambiente inclusivo e diverso em relação à deficiências, idade, identidade de gênero e orientação sexual, etnia e raça, religião, culturas e experiências, oferecendo oportunidades equitativas para todos construírem sua carreira em uma empresa que só cresce.</p>
<p>Portanto, nossas vagas são para TODAS as pessoas!</p>
<p><i>Você</i> pode descobrir mais sobre o que estamos fazendo para criar uma Valtech para todos aqui.</p>
<p>Oferecemos cultura de aprendizado contínuo, plano de carreira e salário competitivo. Temos também benefícios flexíveis, assistência médica, aulas de inglês, ambiente descontraído, cultura de feedback, horário de trabalho flexível, e outros.</p>
<p> </p>
</div>
</div>
</div>
<p><a class=""btn btn-primary"" href=""https://www.linkedin.com/jobs/view/2956690109/"" target=""/blank"" rel=""noopener noreferrer"">Candidatar-se para esta vaga</a></p>
</div>",https://remotar.com.br/vagas/front-end-developer-valtech/,Front End Developer
2022-04-05T12:58:43-03:00,a55,2022-04-05T12:58:43-03:00,"<div class=""description__about"">
<div class=""description__about"">
<div class=""description__about"">
<h5></h5>
<div class=""description__about"">
<h5>DESCRIÇÃO DA VAGA</h5>
<p>Somos <strong>apaixonados(as)</strong> por finanças, tecnologia e novas maneiras de resolver problemas antigos. Procuramos pessoas que sejam inteligentes, ambiciosas, curiosas, trabalhadoras, que tomem iniciativa e, especialmente, que queiram criar impacto e trabalhar duro para alcançar grandes objetivos. 👩‍🚀👩🏾‍🚀</p>
<p class=""ql-align-justify"">Vem ser um(a) <strong>|five fiver| </strong>e faça a diferença com a gente! 💙</p>
<p> </p>
<h5>RESPONSABILIDADES E ATRIBUIÇÕES</h5>
<p><strong>💻 <u>Precisamos de você para:</u></strong></p>
<ul>
<li>Auxiliar na consolidação de indicadores das diferentes áreas de negócio e no fechamento gerencial de resultados da empresa;</li>
<li>Dar suporte ao acompanhamento das entregas de roadmap/orçado vs realizado das diferentes áreas de negócio;</li>
<li>Auxiliar nas análises comparativas de resultado vs períodos anteriores, elaboração de relatórios e melhorias nas análises de negócio com o objetivo de antecipar potenciais gargalos e pontos de atenção na operação.</li>
<li>Participar da confecção do material mensal de report de resultados para Diretoria / CEO e acionistas;</li>
</ul>
<p> </p>
<h5>REQUISITOS E QUALIFICAÇÕES</h5>
<p><strong>🐱‍👤 <u>O que você precisa ter para dar match:</u></strong></p>
<ul>
<li><u></u>Excel avançado – Imprescindível;</li>
<li>Conhecimentos em Power BI, SQL and data based queries &amp; programming – Será um diferencial.</li>
<li>Excelente comunicação e escrita em português e inglês, espanhol é desejável</li>
<li>Saber trabalhar em equipe, promovendo alinhamento global;</li>
<li>Ter uma Organização impecável;</li>
<li>Habilidade de manter o foco em um ambiente de trabalho muito dinâmico e em constante evolução.</li>
</ul>
<hr>
<p><a href=""https://bit.ly/3tSrcpC"" target=""_blank"" rel=""noopener""><img class=""alignnone  wp-image-50205"" src=""https://remotar.com.br/wp-content/uploads/2022/03/Data-Analytics_600x315px-1.png"" alt=""Data Analytics Coderhouse Novo"" width=""490"" height=""257"" srcset=""https://remotar.com.br/wp-content/uploads/2022/03/Data-Analytics_600x315px-1.png 600w, https://remotar.com.br/wp-content/uploads/2022/03/Data-Analytics_600x315px-1-200x105.png 200w, https://remotar.com.br/wp-content/uploads/2022/03/Data-Analytics_600x315px-1-100x53.png 100w"" sizes=""(max-width: 490px) 100vw, 490px""></a></p>
<hr>
<h5>INFORMAÇÕES ADICIONAIS</h5>
<p><strong>📦 <u>O que oferecemos:</u></strong></p>
<ul>
<li>Contratação formato CLT;</li>
<li>Liberdade para escolher:<strong> jornada 100% remota</strong>, híbrida ou presencial;</li>
<li>Assistência Médica 100% paga pela a55;</li>
<li>Vale-alimentação;</li>
<li>Gympass;</li>
<li>Benefício educação para livros, cursos, faculdades escolhidos por você;</li>
<li>Opção entre escolher receber nossos equipamentos ou uma ajuda de custo mensal para trabalhar com os próprios equipamentos;</li>
<li>Sem “dress-code”;</li>
<li>Oportunidades para desenvolvimento e autonomia.</li>
</ul>
<p> </p>
<h5>UM POUCO SOBRE A GENTE</h5>
<div class=""description__about"">
<p>A a55 nasceu com um propósito: ajudar as empresas a crescerem do seu jeito! 💙🚀</p>
<p>Construir uma base crescente e fiel de <strong>clientes </strong>é a grande chave do <strong>sucesso</strong>. Mas como fazer isso quando você não tem capital para investir? Todos os dias, empreendedores se frustram na busca de <strong>crédito </strong>ao se depararem com altas taxas, volumes pequenos, burocracias, garantias abusivas e diluição societária forçada.</p>
<p>Observar esse contexto fez da <strong>a55 </strong>a primeira fintech da América Latina a viabilizar o <strong>crescimento </strong>das empresas da nova economia no Brasil e no México através de financiamentos para empresas baseados em dados de faturamento.</p>
<p>Fundada em 2017, com escritórios em São Paulo (BR) e Cidade do México (MX), a a55 oferece soluções inovadoras de crédito para crescimento e alternativas para permitir que empresas levantem dinheiro se, diluir seus acionistas – incluindo fundadores. 💰</p>
</div>
</div>
</div>
</div>
</div>",https://remotar.com.br/vagas/estagio-em-analytics-planning-analyst-a55/,Estágio em Analytics & Planning Analyst
2022-04-05T13:14:13-03:00,Valtech,2022-04-05T13:14:13-03:00,"<div class=""description ng-star-inserted"">
<div class=""perks"">
<div class=""text"">
<div id=""ember875"" class=""ember-view"">
<h5 class=""mt5 t-20 t-bold mb4"">Sobre a vaga</h5>
<p>A Valtech é uma Agência Digital global que possui escritórios em 19 países. Nós projetamos e construímos experiências únicas, executamos esforços de melhoria contínua e vivemos, alimentamos e impulsionamos a transformação dos negócios em todo o mundo digital. Apoiamos nossos clientes na pesquisa, design e marketing de experiências e interfaces digitais inteligentes.</p>
<p>Estamos procurando alguém para se juntar à nossa equipe no escritório de São Paulo, Florianópolis ou <strong>Remotamente</strong> na função de <strong>Copywriter</strong>.</p>
<h5>Suas atividades serão:<strong><br>
</strong></h5>
<ul>
<li>Pesquisar e estudar o mercado dos clientes;</li>
<li>Participação em brainstorms;</li>
<li>Discutir conceitos;</li>
<li>Elaboração de texto para diferentes formatos de mídia;</li>
<li>Entregar ideias para múltiplos canais de comunicação;</li>
<li>Garantir a consistência e qualidade do conceito;</li>
<li>Elaborar roteiros de vídeo;</li>
<li>Trabalhar lado a lado com diretores de arte, equipe de planejamento e social media;</li>
</ul>
<h5>Requisitos que você precisa atender:<strong><br>
</strong></h5>
<ul>
<li>Experiência com B2B</li>
<li>Conhecimento de técnicas de redação para redes sociais.</li>
<li>Conhecimento de estratégia e criação de conteúdo online.</li>
<li>Excelente capacidade de redação, edição e revisão.</li>
<li>Experiência com SEO.</li>
</ul>
<p><strong>Consideraremos um diferencial se você tiver:<br>
</strong></p>
<ul>
<li>Exp com cliente do segmento Animal Health ou Health</li>
<li>Inglês</li>
</ul>
<p><strong>Vaga Freelance</strong></p>
<p>de Abril a Setembro de 2022</p>
<p><strong>Full Time (Segunda à Sexta, 8h/dia)</strong></p>
<p><strong>Possibilidade de efetivação</strong></p>
<h5>Por que trabalhar conosco?</h5>
<p>Cultura: Oferecemos cultura de aprendizado contínuo, valorização pessoal e profissional, cuidado com a qualidade de vida e saúde mental dos colaboradores, ambiente de diversidade e inclusão, oportunidades de interação cultural. Ambiente de colaboração e compartilhamento de conhecimento, propício à inovação e criatividade constante.</p>
<p>D&amp;I: Na valtech, criamos experiências que funcionem e alcancem todas as pessoas. Nosso objetivo é criar um ambiente de trabalho justo que dê às pessoas o apoio de que precisam para prosperar, crescer e atingir seus objetivos. Para isso, construímos todos os dias um ambiente inclusivo e diverso em relação à deficiências, idade, identidade de gênero e orientação sexual, etnia e raça, religião, culturas e experiências, oferecendo oportunidades equitativas para todos construírem sua carreira em uma empresa que só cresce. Portanto, nossas vagas são para TODAS as pessoas! Você pode descobrir mais sobre o que estamos fazendo para criar uma Valtech para todos aqui.</p>
<p> </p>
</div>
</div>
</div>
<p><a class=""btn btn-primary"" href=""https://www.linkedin.com/jobs/view/2993166822/"" target=""/blank"" rel=""noopener noreferrer"">Candidatar-se para esta vaga</a></p>
</div>",https://remotar.com.br/vagas/copywriter-freelance-valtech/,Copywriter Freelance
2022-03-18T08:03:14-03:00,Mindera,2022-03-18T08:03:14-03:00,,https://remotar.com.br/vagas/senior-ios-developer-mindera/,Senior IOS Developer
2022-03-04T16:51:51-03:00,Galena,2022-03-04T16:51:51-03:00,"<div class=""description ng-star-inserted"">
<div class=""oportunidades-description"">
<div class=""description__about"">
<div class=""description__about"">
<div class=""description__about"">
<p>Na Galena acreditamos no potencial dos jovens brasileiros e que, com direcionamento e oportunidade, todos terão carreiras promissoras.</p>
<p>O nosso programa prepara jovens do ensino público através do desenvolvimento de competências emocionais e técnicas (soft e hard skills) e os inclui no mundo do trabalho. Conectamos o uso de metodologias educacionais sofisticadas, com as necessidades do mundo corporativo e tecnologia.</p>
<p><img class=""alignnone size-full wp-image-48100"" src=""https://remotar.com.br/wp-content/uploads/2022/02/galena-1.png"" alt="""" width=""598"" height=""310"" srcset=""https://remotar.com.br/wp-content/uploads/2022/02/galena-1.png 598w, https://remotar.com.br/wp-content/uploads/2022/02/galena-1-200x104.png 200w, https://remotar.com.br/wp-content/uploads/2022/02/galena-1-100x52.png 100w"" sizes=""(max-width: 598px) 100vw, 598px""></p>
<p> </p>
<p><strong>Para quem quer começar uma carreira em vendas e sucesso do cliente </strong><br>
<b><br>
</b><span style=""font-weight: 400;"">São 4 meses de programa online, sendo 8 horas por dia, para você aprender a atuar na área de Vendas e Sucesso do Cliente, que vão te ajudar a conseguir seu emprego CLT com salário de mais de R$2.000,00 em grandes empresas, </span><span style=""font-weight: 400;"">como: Nubank, XP, Ifood, Unilever, Dell, Stone, Quinto Andar, Pet&amp;Love e outras. </span><span style=""font-weight: 400;"">A primeira turma teve 100% de empregabilidade. </span></p>
<p><span style=""font-weight: 400;""><strong>Tem entre 18 e 24 anos e estudou em escola pública? </strong></span></p>
<p><span style=""font-weight: 400;"">Não perca a oportunidade que pode mudar a sua vida! </span></p>
<p><img loading=""lazy"" class=""alignnone size-full wp-image-48103"" src=""https://remotar.com.br/wp-content/uploads/2022/02/galena-desk-refeito-1024x382-1.png"" alt="""" width=""1024"" height=""382"" srcset=""https://remotar.com.br/wp-content/uploads/2022/02/galena-desk-refeito-1024x382-1.png 1024w, https://remotar.com.br/wp-content/uploads/2022/02/galena-desk-refeito-1024x382-1-200x75.png 200w, https://remotar.com.br/wp-content/uploads/2022/02/galena-desk-refeito-1024x382-1-100x37.png 100w"" sizes=""(max-width: 1024px) 100vw, 1024px""></p>
</div>
</div>
</div>
<p><a class=""btn btn-primary"" href=""https://sougalena.com/orientacao-vocacional/cadastro?utm_source=remotar&amp;utm_medium=post_utm_campaign=inscricao"" target=""/blank"" rel=""noopener noreferrer"">Inscreva-se já!</a></p>
</div>
</div>",https://remotar.com.br/vagas/capacitacao-para-trabalhar-remoto-com-clt-na-area-de-vendas-e-sucesso-do-cliente-galena/,Capacitação para trabalhar remoto com CLT na área de Vendas e Sucesso do Cliente
2022-04-05T12:54:36-03:00,NEORIS,2022-04-05T12:54:36-03:00,"<div class=""description__about"">
<div class=""description__about"">
<div class=""description__about"">
<h5 class=""mt5 t-20 t-bold mb4"">Sobre a vaga</h5>
<p><strong>Desenvolvedor(a) Python/PERL</strong></p>
<p>A NEORIS é um acelerador digital que ajuda as empresas a se moverem para o futuro. Nós lideramos a transformação digital com uma perspectiva de negócios e contando com as melhores equipes técnicas. Por isso, estamos buscando por <strong>Desenvolvedor(a) Python /PERL Pleno </strong>para se juntar ao nosso time e exponenciar nossos negócios. Esse profissional fará parte do nosso time de DDC e poderá atuar em clientes muito expressivos de diferentes seguimentos.</p>
<p>Se você gosta de desafios e de trabalho em equipe, essa vaga é para você!</p>
<h5><u>Responsabilidades:</u></h5>
<ul>
<li>Desenvolvimento de scripts Perl/ Python.</li>
<li>Desenvolvimento de scripts PRASE com base nas especificações fornecidas.</li>
<li>Configuração, Build e teste da aplicação</li>
<li>Codificar testes unitários</li>
<li>Realizar atividades de deploy</li>
<li>Contato com o cliente realizando análise e compreensão dos requisitos de negócios</li>
<li>Criação de documentação técnica</li>
<li>Realizar estimativas</li>
<li>Identificar oportunidades para atender aos objetivos de negócios do cliente através das aplicações.</li>
</ul>
<h5><u>Requisitos e qualificações que esperamos encontrar em você:</u></h5>
<ul>
<li>Experiência <strong>profissional </strong>e domínio na configuração e desenvolvimento de scripts Python e PERL</li>
<li>Experiência com Policy, Annuities, Provider</li>
<li>Pensamento Lógico e Analítico</li>
<li>Boas habilidades de comunicação e proatividade</li>
</ul>
<h5><u>Seria legal você ter também:</u></h5>
<ul>
<li>Experiência profissional em empresas no segmento de seguros, preferencialmente seguro de vida.</li>
</ul>
<h5><u>Oferecemos:</u></h5>
<ul>
<li>Desenvolvimento profissional</li>
<li>Cultura de trabalho dinâmica</li>
<li>Vale Refeição;</li>
<li>Vale Alimentação;</li>
<li>Previdência Privada;</li>
<li>Plano de Saúde;</li>
<li>Plano Odontológico;</li>
<li>Seguro de Vida;</li>
<li>Aulas de Inglês/Espanhol;</li>
<li>Gympass;</li>
<li>Home-Office</li>
</ul>
<p> </p>
</div>
</div>
</div>",https://remotar.com.br/vagas/desenvolvedora-python-perl-neoris/,Desenvolvedor(a) Python/PERL
2022-03-04T11:11:37-03:00,Catho,2022-03-04T11:11:37-03:00,"<div class=""description"">
<div class=""elementor-element elementor-element-666570f elementor-widget elementor-widget-text-editor"" data-id=""666570f"">
<div class=""elementor-widget-container"">
<div class=""elementor-text-editor elementor-clearfix"">
<div class=""elementor-element elementor-element-666570f elementor-widget elementor-widget-text-editor"" data-id=""666570f"">
<div class=""elementor-widget-container"">
<div class=""elementor-text-editor elementor-clearfix"">
<div class=""text-container"">
<p>💡 <strong>Aqui a jornada é você quem escolhe: Part- time (6 horas/dia) ou Full time (8 horas/dia) com possibilidade de Home Office.</strong></p>
<h5>Sobre o nosso propósito</h5>
<p>A Catho está presente na vida das pessoas em um momento fundamental: o de conseguir um novo emprego. Afinal, o emprego muda vidas e a nossa plataforma conecta milhões de currículos a empresas cadastradas.</p>
<p>Mudar vidas é a nossa razão de existir. Ao unir as pessoas com as oportunidades de trabalho, a Catho possibilita a elas atender não só suas necessidades básicas e de suas famílias, como também ter a chance de crescer, produzir e realizar sonhos. Aqui você encontra um pouco mais sobre a nossa cultura.</p>
<p>Além disso, somos parte do grupo Seek, líder global no segmento de recrutamento online, com atuação na Austrália, China, Índia e outros países.</p>
<p>E você, também quer ajudar a transformar vidas? Dá uma olhada na vaga abaixo:</p>
<h5><strong>Tecnologias que usamos:</strong></h5>
<p>Grande parte das nossas aplicações são construídas em Go, Node.js e React. Valorizamos as boas práticas de programação, e buscamos sempre trabalhar com testes e monitoramento. Trabalhamos com Scrum e usamos Cloud First para construir nossas soluções. E como um bom time de plataforma, somos apaixonados por uma boa discussão sobre arquitetura e tecnologia.</p>
<h5><strong>O que estamos buscando?</strong></h5>
<ul>
<li>Experiência com alguma linguagem focada em desenvolvimento web, sendo diferencial, Node.Js e Golang.</li>
<li>Conhecimento em linguagens de marcação e formatação Web (HTML e CSS).</li>
<li>Conhecimento em frameworks de front-end, sendo diferencial, React.</li>
<li>Conhecimento em Design Patterns (SOLID).</li>
<li>Conhecimento em criação e configuração de pipelines CI/CD.</li>
<li>Conhecimentos em cloud, sendo diferencial, AWS.</li>
<li>Experiência com sistemas de controle de versionamento de código (ex.: Git ou outros)</li>
</ul>
<h5><strong>Será um plus se você tiver:</strong></h5>
<ul>
<li>Conhecimento em Metodologia ágil e Scrum</li>
<li>Vivência em monitoramento, software APM (ELK, Open Distro for ElasticSearch, Kibana);</li>
<li>Infraestrutura como código (IaC)</li>
</ul>
<h5>O que temos de muito legal:</h5>
<ul>
<li>Assistência médica (sua mensalidade fica por nossa conta e você pode estender aos seus dependentes);</li>
<li>Assistência odontológica;</li>
<li>Seguro de vida;</li>
<li>Vale transporte ou estacionamento;</li>
<li>Day off de aniversário;</li>
<li>Cartão multibenefícios;</li>
<li>Programa Lado a Lado (você pode apadrinhar uma pessoa que receberá uma assinatura da Catho);</li>
<li>Programa de Braços Abertos (contamos com o apoio de profissionais especializados em bem-estar mental para você e sua família);</li>
<li>Somos uma empresa cidadã;</li>
<li>Já fomos reconhecidos como GPTW diversas vezes;</li>
<li>Aqui a jornada é você quem escolhe: Part- time (6 horas/dia) ou Full time (8 horas/dia) com possibilidade de Home Office.</li>
<li>Não temos dress code.</li>
</ul>
<p> </p>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
<p><a class=""btn btn-primary"" href=""https://jobs.kenoby.com/catho/job/pessoa-desenvolvedora-fullstack-senior-part-time/61a3f16e8baf9f79e250c92b?utm_source=remotar"" target=""/blank"" rel=""noopener noreferrer"">Candidatar-se para esta vaga</a></p>
</div>",https://remotar.com.br/vagas/pessoa-desenvolvedora-fullstack-senior-voce-escolhe-sua-jornada-catho/,Pessoa Desenvolvedora Fullstack Sênior (você escolhe sua jornada)
2022-04-05T13:05:43-03:00,Valtech,2022-04-05T13:05:43-03:00,"<div class=""description ng-star-inserted"">
<div class=""perks"">
<div class=""text"">
<div id=""ember875"" class=""ember-view"">
<h5 class=""mt5 t-20 t-bold mb4"">Sobre a vaga</h5>
<p>A Valtech é uma Agência Digital global que possui escritórios em 16 países. Nós projetamos e construímos experiências únicas, executamos esforços de melhoria contínua e vivemos, alimentamos e impulsionamos a transformação dos negócios em todo o mundo digital. Apoiamos nossos clientes na pesquisa, design e marketing de experiências e interfaces digitais inteligentes.</p>
<p>Estamos procurando alguém para se juntar à nossa equipe no escritório de Florianópolis, São Paulo, ou<strong> 100% remoto</strong> na função de <strong>Quality Assurance Analyst (Automation).</strong></p>
<h5>Suas atividades serão:</h5>
<ul>
<li>Avaliar e entender as regras de negócios;</li>
<li>Participar da estimativa de histórias de usuários;</li>
<li>Avaliar e priorizar os requisitos do projeto;</li>
<li>Criar casos de teste com base nos requisitos da história;</li>
<li>Executar testes de acordo com os critérios de aceitação descritos nas histórias ou planos de teste em projetos garantindo que as soluções de software estejam funcionando conforme o esperado e alinhadas com os requisitos de negócios e design visual.</li>
<li>Participar de cerimônias ágeis (Reuniões diárias, Planejamento, Retrospectiva)</li>
<li>Relatar incidentes derivados da execução de testes.</li>
<li>Colaborar com a equipe de desenvolvimento na Raiz Processos de análise de causa e solução de problemas.</li>
<li>Relatar problemas relacionados a requisitos não funcionais (desempenho, disponibilidade, design responsivo, etc)</li>
<li>Preparar relatórios de integridade do projeto para gerenciamento de projetos e colaborar nas definições de KPI.</li>
<li>Revisar, analisar e adicionar contexto a incidentes relatados pelo cliente.</li>
<li>Apoiar a equipe de desenvolvimento e controle de qualidade manual na solução de problemas e análise de causa raiz.</li>
<li>Implementar e integrar ferramentas de relatórios para poder reunir métricas significativas sobre a saúde dos projetos</li>
<li>Levantar pontos de alerta na especificação</li>
</ul>
<h5>Requisitos que você precisa atender:</h5>
<ul>
<li>Inglês avançado ou fluente;</li>
<li>Experiência em teste de software.</li>
</ul>
<p><strong>Consideraremos um diferencial se você tiver:</strong></p>
<ul>
<li>Experiência com métodos ágeis;</li>
<li>Experiência em Mobile testing.</li>
</ul>
<h5>Por que trabalhar conosco?</h5>
<p>Oferecemos cultura de aprendizado contínuo, ambiente de diversidade e salário competitivo. Temos também benefícios abrangentes como assistência médica, aulas de inglês, ambiente descontraído, cultura de feedback, lanches no escritório, horário de trabalho flexível, área de descompressão e outros.</p>
<p> </p>
</div>
</div>
</div>
<p><a class=""btn btn-primary"" href=""https://careers.brazil.valtech.com/jobs/1555373-quality-assurance-analyst-automation?utm_source=remotar"" target=""/blank"" rel=""noopener noreferrer"">Candidatar-se para esta vaga</a></p>
</div>",https://remotar.com.br/vagas/quality-assurance-analyst-automation-valtech/,Quality Assurance Analyst (Automation)
2022-04-05T12:50:48-03:00,NEORIS,2022-04-05T12:50:48-03:00,"<div class=""description__about"">
<div class=""description__about"">
<div class=""description__about"">
<h5 class=""mt5 t-20 t-bold mb4"">Sobre a vaga</h5>
<p>A NEORIS segue crescendo, pois estamos focados em atender cada vez mais clientes e em aumentar a nossa gama de serviços àqueles que já atendemos. Frente a isso, estamos buscando um(a) <strong>Desenvolvedor(a) Java </strong>para se juntar ao nosso time e exponenciar nossos negócios. Esse profissional fará parte do nosso time de <strong>Digital Delivery Center</strong>.</p>
<h5><u>O desafio</u>:</h5>
<ul>
<li>Desenvolvimento voltado a atender a um grande cliente internacional e seu cliente final;</li>
<li>Equipe multi-country e de diversas tecnologias como PM, arquitetos de soluções devs Python, Oracle, Java e QA’s.</li>
</ul>
<h5><u>Suas principais atividades serão</u>:</h5>
<ul>
<li>Atuará com desenvolvimento BackEnd Java;</li>
<li>Trabalhará com designers de produtos e arquitetos de soluções para garantir que a configuração e os componentes personalizados atendam aos requisitos do aplicativo e às metas de desempenho;</li>
<li>Desenvolver Workflows, definindo e atualizando Object Models e Mapeamentos;</li>
<li>Escrever e definir regras no mecanismo de regras;</li>
<li>Configurar, construir e testar o aplicativo;</li>
<li>Teste unitário;</li>
<li>Desdobramento e desenvolvimento;</li>
<li>Script de banco de dados e verificação de dados;</li>
</ul>
<h5><u>Conhecimentos requeridos</u>:</h5>
<ul>
<li>Desenvolvimento de serviços web;</li>
<li>Qualquer conhecimento na configuração de regras de negócios;</li>
<li>Qualquer conhecimento de conceitos de fluxo de trabalho;</li>
<li>Exposição ao HTML5;</li>
<li>Programação de aplicativos com inclinação para o domínio;</li>
<li>Compreensão e desenvolvimento com programação orientada a objetos<strong>(JAVA)</strong>;</li>
<li>Banco de dados Oracle com entendimento claro dos conceitos de RDBMS;</li>
<li>XML/XSD</li>
<li>Inglês para escrita, leitura e conversação (avançado);</li>
</ul>
<h5><u>O que oferecemos</u>:</h5>
<ul>
<li>Desenvolvimento profissional;</li>
<li>Cultura de trabalho dinâmica;</li>
<li>Vale Refeição;</li>
<li>Vale Alimentação;</li>
<li>Previdência Privada;</li>
<li>Plano de Saúde;</li>
<li>Plano Odontológico;</li>
<li>Seguro de Vida;</li>
<li>Aulas de Inglês/Espanhol;</li>
<li>Gympass;</li>
<li>Home-office.</li>
</ul>
<p> </p>
</div>
</div>
</div>",https://remotar.com.br/vagas/desenvolvedor-java-neoris/,Desenvolvedor Java
